,Lat,Lon
258,42.377919,-71.237098
259,42.377919,-71.237098
260,42.377919,-71.237098
261,42.370973,-71.190032
262,42.370973,-71.190032
263,42.370973,-71.190032
264,42.377919,-71.237098
265,42.377919,-71.237098
266,42.377919,-71.237098
267,42.377919,-71.237098
268,42.377919,-71.237098
269,43.710749,7.313697
270,51.770677,-10.540367
271,52.040982,-9.531712
272,42.377919,-71.237098
273,51.696302,-8.500027
274,42.377919,-71.237098
275,42.377919,-71.237098
276,25.04125,55.723627
277,36.709061,-2.867217
278,40.580338,-74.735441
279,40.580338,-74.735441
280,40.600991,140.473594
281,50.875636,-0.153808
282,51.922152,-10.345606
283,51.816255,-10.563354
284,41.097941,14.329036
285,41.097941,14.329036
286,41.097941,14.329036
287,53.676629,-2.980685
288,51.893655,-10.390926
289,50.816395,5.807164
290,45.965319,9.20198
291,43.261503,-79.076317
292,50.521094,1.578598
293,33.09075,10.31187
294,33.542968,9.971122
295,45.965147,9.201041
296,60.140991,24.989304
297,40.804528,73.966653
298,-20.264478,57.804913
299,43.922889,10.507543
300,52.738162,1.253986
301,47.508012,19.042568
302,58.90415,-2.880274
303,36.608727,-117.1153
304,37.376944,-5.986944
305,36.22028,-116.72662
306,36.21943,-116.72752
307,37.799509,15.04848
308,52.516194,13.376755
309,43.841728,-73.387601
310,51.505416,-0.019429
311,51.877148,-10.527648
312,51.686794,-8.491744
313,30.4557,-91.187325
314,47.507058,19.045691
315,46.011479,9.283312
316,37.600891,-1.325912
317,54.840029,-1.331512
318,40.833213,14.209742
319,52.287272,-1.539115
320,53.436027,-3.034481
321,53.435919,-3.034442
